title,address,distance,link,beds,baths,price,sqft,availability,lease_terms,amenities,per bedroom pricing,call for rent,price_avg,dishwasher,washer/dryer in unit,has balcony,gym,internet,pool,near bus stop,furnished,parking,laundry available,pet friendly,individual lease,disability access
Altoview Apartment Homes,"310 Fisher St, Charlottesville, VA 22911",4.1,https://offgroundshousing.student.virginia.edu/housing/property/altoview-apartment-homes/k98sgs8,3.0,3.0,"Total Monthly Price
$2,909 - $2,942","1,452",4/14/26,"12 month lease, Flexible/Other lease","Air Conditioning, Carpet, Ceiling Fans, Dining Room, Dishwasher, Extra Storage, Garbage Disposal, Granite Countertops, Heat - Central, Heat - Floor/Wall, Heating, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, BBQ/BBQ Area, Business Center, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Washer/Dryer in Unit, 1st Floor Premium, 24/7 Amazon Hub, Cozy fire pit, Cyber cafe, Detached garages available, Elevator Building, Grilling Area, Outdoor cooking & dining area, Pet Spa, Resort style swimming pool, Top Floor, Yoga/aerobic studio",0,0,2925.5,1,1,1,1,0,1,0,0,1,0,1,0,0
Altoview Apartment Homes,"310 Fisher St, Charlottesville, VA 22911",4.1,https://offgroundshousing.student.virginia.edu/housing/property/altoview-apartment-homes/k98sgs8,3.0,3.0,"Total Monthly Price
$2,717","1,387",Not Available,"12 month lease, Flexible/Other lease","Air Conditioning, Carpet, Ceiling Fans, Dining Room, Dishwasher, Extra Storage, Garbage Disposal, Granite Countertops, Heat - Central, Heat - Floor/Wall, Heating, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, BBQ/BBQ Area, Business Center, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Washer/Dryer in Unit, 1st Floor Premium, 24/7 Amazon Hub, Cozy fire pit, Cyber cafe, Detached garages available, Elevator Building, Grilling Area, Outdoor cooking & dining area, Pet Spa, Resort style swimming pool, Top Floor, Yoga/aerobic studio",0,0,2717.0,1,1,1,1,0,1,0,0,1,0,1,0,0
MSC Managed Condo at Walker Square!,"700 Walker Square, Charlottesville, VA 22903",1.0,https://offgroundshousing.student.virginia.edu/housing/property/msc-managed-condo-at-walker-square/ocpdm7py7l,1.0,1.0,"$1,700
12 Month Lease",785,7/1/26,12 Month Lease,"Air Conditioning, Dishwasher, Hardwood Floors, High-Speed Internet Available, Fitness Room, International Student Friendly, Near Bus Stop, Pool, Washer/Dryer in Unit",0,0,1700.0,1,1,0,1,1,1,1,0,0,0,0,0,0
10th & Dairy,"400 10th St NW, Charlottesville, VA 22903",0.8,https://offgroundshousing.student.virginia.edu/housing/property/10th-and-dairy/x0yb9rm,1.0,1.0,"Total Monthly Price
$2,003 - $2,717",667,5/23/26,,"Air Conditioning, Carpet, Dishwasher, Extra Storage, Heat - Central, Heat - Floor/Wall, Heating, High-Speed Internet Available, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, Refrigerator, Stainless Steel Appliances, Storage for Additional Cost, Bike Racks, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Pool, Property Manager On-Site, Secure bike storage, Study Lounges, Walk to campus, Washer/Dryer in Unit, Air Conditioner, BBQ/Picnic Area, Bike Racks, Cardio room, Ceiling Fan, Coffee bar, Conference room, Coworking lounge, Each apartment features granite countertops, Each apartment is wifi ready, Large Closets, lounge pool and common area wifi, Moveable kitchen island, Off Street Parking, Resident lounge",0,0,2360.0,1,1,1,1,1,1,0,0,1,0,1,0,0
10th & Dairy,"400 10th St NW, Charlottesville, VA 22903",0.8,https://offgroundshousing.student.virginia.edu/housing/property/10th-and-dairy/x0yb9rm,1.0,1.0,"Total Monthly Price
$2,038 - $2,696",763,6/1/26,,"Air Conditioning, Carpet, Dishwasher, Extra Storage, Heat - Central, Heat - Floor/Wall, Heating, High-Speed Internet Available, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, Refrigerator, Stainless Steel Appliances, Storage for Additional Cost, Bike Racks, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Pool, Property Manager On-Site, Secure bike storage, Study Lounges, Walk to campus, Washer/Dryer in Unit, Air Conditioner, BBQ/Picnic Area, Bike Racks, Cardio room, Ceiling Fan, Coffee bar, Conference room, Coworking lounge, Each apartment features granite countertops, Each apartment is wifi ready, Large Closets, lounge pool and common area wifi, Moveable kitchen island, Off Street Parking, Resident lounge",0,0,2367.0,1,1,1,1,1,1,0,0,1,0,1,0,0
10th & Dairy,"400 10th St NW, Charlottesville, VA 22903",0.8,https://offgroundshousing.student.virginia.edu/housing/property/10th-and-dairy/x0yb9rm,1.0,1.0,"Total Monthly Price
$2,057 - $2,785",735,6/18/26,,"Air Conditioning, Carpet, Dishwasher, Extra Storage, Heat - Central, Heat - Floor/Wall, Heating, High-Speed Internet Available, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, Refrigerator, Stainless Steel Appliances, Storage for Additional Cost, Bike Racks, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Pool, Property Manager On-Site, Secure bike storage, Study Lounges, Walk to campus, Washer/Dryer in Unit, Air Conditioner, BBQ/Picnic Area, Bike Racks, Cardio room, Ceiling Fan, Coffee bar, Conference room, Coworking lounge, Each apartment features granite countertops, Each apartment is wifi ready, Large Closets, lounge pool and common area wifi, Moveable kitchen island, Off Street Parking, Resident lounge",0,0,2421.0,1,1,1,1,1,1,0,0,1,0,1,0,0
10th & Dairy,"400 10th St NW, Charlottesville, VA 22903",0.8,https://offgroundshousing.student.virginia.edu/housing/property/10th-and-dairy/x0yb9rm,1.0,1.0,"Total Monthly Price
$1,887 - $2,759",648,Available Now,,"Air Conditioning, Carpet, Dishwasher, Extra Storage, Heat - Central, Heat - Floor/Wall, Heating, High-Speed Internet Available, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, Refrigerator, Stainless Steel Appliances, Storage for Additional Cost, Bike Racks, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Pool, Property Manager On-Site, Secure bike storage, Study Lounges, Walk to campus, Washer/Dryer in Unit, Air Conditioner, BBQ/Picnic Area, Bike Racks, Cardio room, Ceiling Fan, Coffee bar, Conference room, Coworking lounge, Each apartment features granite countertops, Each apartment is wifi ready, Large Closets, lounge pool and common area wifi, Moveable kitchen island, Off Street Parking, Resident lounge",0,0,2323.0,1,1,1,1,1,1,0,0,1,0,1,0,0
10th & Dairy,"400 10th St NW, Charlottesville, VA 22903",0.8,https://offgroundshousing.student.virginia.edu/housing/property/10th-and-dairy/x0yb9rm,1.0,1.0,"Total Monthly Price
$2,009 - $2,891",672,4/6/26,,"Air Conditioning, Carpet, Dishwasher, Extra Storage, Heat - Central, Heat - Floor/Wall, Heating, High-Speed Internet Available, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, Refrigerator, Stainless Steel Appliances, Storage for Additional Cost, Bike Racks, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Pool, Property Manager On-Site, Secure bike storage, Study Lounges, Walk to campus, Washer/Dryer in Unit, Air Conditioner, BBQ/Picnic Area, Bike Racks, Cardio room, Ceiling Fan, Coffee bar, Conference room, Coworking lounge, Each apartment features granite countertops, Each apartment is wifi ready, Large Closets, lounge pool and common area wifi, Moveable kitchen island, Off Street Parking, Resident lounge",0,0,2450.0,1,1,1,1,1,1,0,0,1,0,1,0,0
10th & Dairy,"400 10th St NW, Charlottesville, VA 22903",0.8,https://offgroundshousing.student.virginia.edu/housing/property/10th-and-dairy/x0yb9rm,1.0,1.0,"Total Monthly Price
$2,017 - $2,667",667,6/8/26,,"Air Conditioning, Carpet, Dishwasher, Extra Storage, Heat - Central, Heat - Floor/Wall, Heating, High-Speed Internet Available, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, Refrigerator, Stainless Steel Appliances, Storage for Additional Cost, Bike Racks, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Pool, Property Manager On-Site, Secure bike storage, Study Lounges, Walk to campus, Washer/Dryer in Unit, Air Conditioner, BBQ/Picnic Area, Bike Racks, Cardio room, Ceiling Fan, Coffee bar, Conference room, Coworking lounge, Each apartment features granite countertops, Each apartment is wifi ready, Large Closets, lounge pool and common area wifi, Moveable kitchen island, Off Street Parking, Resident lounge",0,0,2342.0,1,1,1,1,1,1,0,0,1,0,1,0,0
10th & Dairy,"400 10th St NW, Charlottesville, VA 22903",0.8,https://offgroundshousing.student.virginia.edu/housing/property/10th-and-dairy/x0yb9rm,1.0,1.0,"Total Monthly Price
$2,023 - $2,675",716,6/23/26,,"Air Conditioning, Carpet, Dishwasher, Extra Storage, Heat - Central, Heat - Floor/Wall, Heating, High-Speed Internet Available, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, Refrigerator, Stainless Steel Appliances, Storage for Additional Cost, Bike Racks, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Pool, Property Manager On-Site, Secure bike storage, Study Lounges, Walk to campus, Washer/Dryer in Unit, Air Conditioner, BBQ/Picnic Area, Bike Racks, Cardio room, Ceiling Fan, Coffee bar, Conference room, Coworking lounge, Each apartment features granite countertops, Each apartment is wifi ready, Large Closets, lounge pool and common area wifi, Moveable kitchen island, Off Street Parking, Resident lounge",0,0,2349.0,1,1,1,1,1,1,0,0,1,0,1,0,0
10th & Dairy,"400 10th St NW, Charlottesville, VA 22903",0.8,https://offgroundshousing.student.virginia.edu/housing/property/10th-and-dairy/x0yb9rm,1.0,1.0,"Total Monthly Price
$2,027 - $2,745",735,6/29/26,,"Air Conditioning, Carpet, Dishwasher, Extra Storage, Heat - Central, Heat - Floor/Wall, Heating, High-Speed Internet Available, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, Refrigerator, Stainless Steel Appliances, Storage for Additional Cost, Bike Racks, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Pool, Property Manager On-Site, Secure bike storage, Study Lounges, Walk to campus, Washer/Dryer in Unit, Air Conditioner, BBQ/Picnic Area, Bike Racks, Cardio room, Ceiling Fan, Coffee bar, Conference room, Coworking lounge, Each apartment features granite countertops, Each apartment is wifi ready, Large Closets, lounge pool and common area wifi, Moveable kitchen island, Off Street Parking, Resident lounge",0,0,2386.0,1,1,1,1,1,1,0,0,1,0,1,0,0
10th & Dairy,"400 10th St NW, Charlottesville, VA 22903",0.8,https://offgroundshousing.student.virginia.edu/housing/property/10th-and-dairy/x0yb9rm,2.0,2.0,"Total Monthly Price
$2,411 - $3,540",980,Available Now,,"Air Conditioning, Carpet, Dishwasher, Extra Storage, Heat - Central, Heat - Floor/Wall, Heating, High-Speed Internet Available, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, Refrigerator, Stainless Steel Appliances, Storage for Additional Cost, Bike Racks, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Pool, Property Manager On-Site, Secure bike storage, Study Lounges, Walk to campus, Washer/Dryer in Unit, Air Conditioner, BBQ/Picnic Area, Bike Racks, Cardio room, Ceiling Fan, Coffee bar, Conference room, Coworking lounge, Each apartment features granite countertops, Each apartment is wifi ready, Large Closets, lounge pool and common area wifi, Moveable kitchen island, Off Street Parking, Resident lounge",0,0,2975.5,1,1,1,1,1,1,0,0,1,0,1,0,0
10th & Dairy,"400 10th St NW, Charlottesville, VA 22903",0.8,https://offgroundshousing.student.virginia.edu/housing/property/10th-and-dairy/x0yb9rm,2.0,2.0,"Total Monthly Price
$2,536 - $3,815","1,146",Available Now,,"Air Conditioning, Carpet, Dishwasher, Extra Storage, Heat - Central, Heat - Floor/Wall, Heating, High-Speed Internet Available, Kitchen, Laminate Floors, Microwave, Patio, Balcony, Porch or Deck, Refrigerator, Stainless Steel Appliances, Storage for Additional Cost, Bike Racks, Clubhouse, Community Lounge, Conference Room, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Pool, Property Manager On-Site, Secure bike storage, Study Lounges, Walk to campus, Washer/Dryer in Unit, Air Conditioner, BBQ/Picnic Area, Bike Racks, Cardio room, Ceiling Fan, Coffee bar, Conference room, Coworking lounge, Each apartment features granite countertops, Each apartment is wifi ready, Large Closets, lounge pool and common area wifi, Moveable kitchen island, Off Street Parking, Resident lounge",0,0,3175.5,1,1,1,1,1,1,0,0,1,0,1,0,0
Hemlock Lane - Quaint Home Available in August!,"932 Hemlock Ln, Charlottesville, VA 22903",0.7,https://offgroundshousing.student.virginia.edu/housing/property/hemlock-lane-quaint-home-available-in-august/ocpz1ps10w,2.0,1.0,"$1,975
Plus Fees
12 Month Lease",921,7/17/26,12 Month Lease,"Air Conditioning, Hardwood Floors, High-Speed Internet Available, Patio, Balcony, Porch or Deck, International Student Friendly, Washer/Dryer Hookups, Washer/Dryer in Unit",0,0,1975.0,0,1,1,0,1,0,0,0,0,0,0,0,0
Six hundred West Main,"600 W Main St, Charlottesville, VA 22903",0.4,https://offgroundshousing.student.virginia.edu/housing/property/six-hundred-west-main/8z0s1t2,1.0,1.0,"Total Monthly Price
$2,617",661,6/8/26,,"Dishwasher, Extra Storage, Garbage Disposal, Microwave, Refrigerator, Storage for Additional Cost, Apartment home-interior features: custom roller window shades, Black Matte Appliances, Community Bike Storage, Complimentary Resident Bikes, Courtyard Fireplace, Discounted ACAC Membership, Glass Top Range, Matte Black Fixtures, oversized walk-in closets, Secured Covered Parking, Stoarge Garage, Valet Trash, Waterfall Quartz Kitchen Island",0,0,2617.0,1,0,0,0,0,0,0,0,1,0,0,0,0
Six hundred West Main,"600 W Main St, Charlottesville, VA 22903",0.4,https://offgroundshousing.student.virginia.edu/housing/property/six-hundred-west-main/8z0s1t2,1.0,1.0,"Total Monthly Price
$2,423",652,8/29/26,,"Dishwasher, Extra Storage, Garbage Disposal, Microwave, Refrigerator, Storage for Additional Cost, Apartment home-interior features: custom roller window shades, Black Matte Appliances, Community Bike Storage, Complimentary Resident Bikes, Courtyard Fireplace, Discounted ACAC Membership, Glass Top Range, Matte Black Fixtures, oversized walk-in closets, Secured Covered Parking, Stoarge Garage, Valet Trash, Waterfall Quartz Kitchen Island",0,0,2423.0,1,0,0,0,0,0,0,0,1,0,0,0,0
Six hundred West Main,"600 W Main St, Charlottesville, VA 22903",0.4,https://offgroundshousing.student.virginia.edu/housing/property/six-hundred-west-main/8z0s1t2,1.0,1.0,"Total Monthly Price
$2,467",671,6/6/26,,"Dishwasher, Extra Storage, Garbage Disposal, Microwave, Refrigerator, Storage for Additional Cost, Apartment home-interior features: custom roller window shades, Black Matte Appliances, Community Bike Storage, Complimentary Resident Bikes, Courtyard Fireplace, Discounted ACAC Membership, Glass Top Range, Matte Black Fixtures, oversized walk-in closets, Secured Covered Parking, Stoarge Garage, Valet Trash, Waterfall Quartz Kitchen Island",0,0,2467.0,1,0,0,0,0,0,0,0,1,0,0,0,0
Six hundred West Main,"600 W Main St, Charlottesville, VA 22903",0.4,https://offgroundshousing.student.virginia.edu/housing/property/six-hundred-west-main/8z0s1t2,1.0,1.0,"Total Monthly Price
$2,514",662,Available Now,,"Dishwasher, Extra Storage, Garbage Disposal, Microwave, Refrigerator, Storage for Additional Cost, Apartment home-interior features: custom roller window shades, Black Matte Appliances, Community Bike Storage, Complimentary Resident Bikes, Courtyard Fireplace, Discounted ACAC Membership, Glass Top Range, Matte Black Fixtures, oversized walk-in closets, Secured Covered Parking, Stoarge Garage, Valet Trash, Waterfall Quartz Kitchen Island",0,0,2514.0,1,0,0,0,0,0,0,0,1,0,0,0,0
Six hundred West Main,"600 W Main St, Charlottesville, VA 22903",0.4,https://offgroundshousing.student.virginia.edu/housing/property/six-hundred-west-main/8z0s1t2,1.0,1.0,"Total Monthly Price
$2,687",671,Available Now,,"Dishwasher, Extra Storage, Garbage Disposal, Microwave, Refrigerator, Storage for Additional Cost, Apartment home-interior features: custom roller window shades, Black Matte Appliances, Community Bike Storage, Complimentary Resident Bikes, Courtyard Fireplace, Discounted ACAC Membership, Glass Top Range, Matte Black Fixtures, oversized walk-in closets, Secured Covered Parking, Stoarge Garage, Valet Trash, Waterfall Quartz Kitchen Island",0,0,2687.0,1,0,0,0,0,0,0,0,1,0,0,0,0
Six hundred West Main,"600 W Main St, Charlottesville, VA 22903",0.4,https://offgroundshousing.student.virginia.edu/housing/property/six-hundred-west-main/8z0s1t2,1.0,1.0,"Total Monthly Price
$4,329",812,6/10/26,,"Dishwasher, Extra Storage, Garbage Disposal, Microwave, Refrigerator, Storage for Additional Cost, Apartment home-interior features: custom roller window shades, Black Matte Appliances, Community Bike Storage, Complimentary Resident Bikes, Courtyard Fireplace, Discounted ACAC Membership, Glass Top Range, Matte Black Fixtures, oversized walk-in closets, Secured Covered Parking, Stoarge Garage, Valet Trash, Waterfall Quartz Kitchen Island",0,0,4329.0,1,0,0,0,0,0,0,0,1,0,0,0,0
Six hundred West Main,"600 W Main St, Charlottesville, VA 22903",0.4,https://offgroundshousing.student.virginia.edu/housing/property/six-hundred-west-main/8z0s1t2,3.0,2.0,"Total Monthly Price
$5,660","1,922",5/10/26,,"Dishwasher, Extra Storage, Garbage Disposal, Microwave, Refrigerator, Storage for Additional Cost, Apartment home-interior features: custom roller window shades, Black Matte Appliances, Community Bike Storage, Complimentary Resident Bikes, Courtyard Fireplace, Discounted ACAC Membership, Glass Top Range, Matte Black Fixtures, oversized walk-in closets, Secured Covered Parking, Stoarge Garage, Valet Trash, Waterfall Quartz Kitchen Island",0,0,5660.0,1,0,0,0,0,0,0,0,1,0,0,0,0
